YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1951,0.7,2.8,6.5,11.1,15.7,18.3,19.9,20.7,16.3,7.8,6.4,-0.1,2.0,11.1,19.6,10.2,10.72
1952,0.9,0.5,3.4,12.2,12.8,18.5,21.0,22.7,18.4,9.9,5.5,3.3,0.4,9.5,20.7,11.3,10.47
1953,0.1,0.8,2.7,10.0,13.4,18.9,20.5,18.8,15.8,9.7,2.4,-2.5,1.4,8.7,19.4,9.3,9.70
1954,999.9,-7.6,4.2,8.0,14.2,20.2,20.9,21.0,18.4,11.9,4.3,0.9,-5.6,8.8,20.7,11.5,8.85
1955,1.6,4.8,5.2,6.6,15.4,18.5,20.1,18.6,16.3,13.0,4.0,1.9,2.4,9.1,19.1,11.1,10.42
1956,-1.6,-4.9,0.0,11.1,14.3,17.4,19.3,21.9,17.1,11.0,3.1,-0.5,-1.5,8.5,19.5,10.4,9.22
1957,-2.4,4.0,5.8,9.9,13.1,19.5,21.2,20.8,16.9,11.9,5.7,-1.1,0.4,9.6,20.5,11.5,10.49
1958,999.9,999.9,1.3,7.7,17.3,999.9,21.1,999.9,999.9,999.9,5.8,999.9,999.9,8.8,999.9,999.9,999.90
1959,-2.9,-2.3,5.6,9.6,14.1,16.7,20.1,19.3,13.1,999.9,4.9,3.3,-2.4,9.8,18.7,9.0,8.78
1960,-0.6,1.5,3.8,8.9,13.8,17.4,18.7,20.1,13.9,13.4,7.9,4.2,1.4,8.8,18.7,11.7,10.17
1961,-2.6,-0.2,6.2,12.6,13.0,17.7,19.5,20.1,16.6,11.3,8.0,-0.7,0.5,10.6,19.1,12.0,10.53
1962,-0.5,-1.7,3.1,10.1,16.1,17.0,20.6,22.1,17.2,10.9,7.9,-3.3,-1.0,9.8,19.9,12.0,10.17
1963,-5.8,-0.1,2.8,9.4,14.2,18.3,20.0,21.7,17.5,10.5,7.8,0.2,-3.1,8.8,20.0,11.9,9.42
1964,-3.9,-0.7,4.0,10.6,12.8,19.2,19.1,18.7,14.5,12.4,6.4,1.6,-1.5,9.1,19.0,11.1,9.44
1965,-0.3,-4.4,4.3,7.8,13.7,18.2,20.8,18.0,18.0,10.1,5.9,2.3,-1.0,8.6,19.0,11.3,9.47
1966,-3.1,6.1,4.0,11.2,14.1,17.0,19.6,20.3,16.0,14.5,6.4,-0.1,1.8,9.8,19.0,12.3,10.70
1967,-3.7,-0.4,5.3,9.2,14.6,16.2,19.3,20.3,16.3,12.6,5.6,0.7,-1.4,9.7,18.6,11.5,9.60
1968,-2.7,2.1,4.4,13.0,18.0,18.2,20.0,18.2,16.0,10.4,6.5,-0.6,0.0,11.8,18.8,11.0,10.40
1969,-5.0,0.9,2.4,8.5,17.5,17.2,17.8,19.8,16.6,9.6,7.8,0.4,-1.6,9.5,18.3,11.3,9.37
1970,0.0,1.2,4.9,11.1,12.4,17.6,19.2,19.5,16.0,9.7,5.8,1.4,0.5,9.5,18.8,10.5,9.82
1971,1.5,0.8,3.1,10.4,15.9,17.7,18.2,19.8,13.4,8.6,4.9,2.2,1.2,9.8,18.6,9.0,9.64
1972,0.6,0.8,5.9,12.1,14.9,19.8,20.1,18.6,13.5,7.3,5.4,-0.8,1.2,11.0,19.5,8.7,10.10
1973,-1.7,1.8,2.3,9.4,15.5,17.4,19.7,17.8,16.5,10.9,2.5,-1.1,-0.2,9.1,18.3,10.0,9.27
